date,date_label,region_code,domaine_code,code_indicateur,valeur,unite,source_code,version_serie,fiabilite,qualite_flag,fichier_source,date_insertion
2010-01-01,2010,MA00,BUDGET,DEFICIT.BUDGET,5306.0,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2010-01-01,2010,MA00,BUDGET,DEFICIT.BUDGET,5242.0,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2010-01-01,2010,MA00,BUDGET,DEFICIT.BUDGET,5411.0,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2010-01-01,2010,MA00,BUDGET,DEFICIT.BUDGET,13743.2,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2011-01-01,2011,MA00,BUDGET,DEFICIT.BUDGET,14211.0,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2011-01-01,2011,MA00,BUDGET,DEFICIT.BUDGET,14993.5,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2011-01-01,2011,MA00,BUDGET,DEFICIT.BUDGET,12005.8,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2011-01-01,2011,MA00,BUDGET,DEFICIT.BUDGET,13420.2,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2012-01-01,2012,MA00,BUDGET,DEFICIT.BUDGET,14268.6,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2012-01-01,2012,MA00,BUDGET,DEFICIT.BUDGET,14398.5,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2006-01-01,2006,MA00,BUDGET,DEFICIT.BUDGET,56939.0,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
2007-01-01,2007,MA00,BUDGET,DEFICIT.BUDGET,55259.0,%PIB,FIN,recente,2,,finances\2006\dette-exterieure-brute-2006-2012-2012-mef.xls,2026-07-23T21:00:01.837543+0000
